datetime,station,pm25,pm10,no2,o3,so2,co,temperature,humidity,precipitation,wind_speed
2026-04-01 00:00:00,Quito,6.3,0.0,38.07,15.19,6.46,0.506,12.17,85.78,0.0,1.16
2026-04-01 01:00:00,Quito,14.77,5.62,33.65,12.43,7.11,0.493,11.89,82.97,0.0,0.69
2026-04-01 02:00:00,Quito,7.04,0.0,31.63,13.0,3.7,0.487,11.76,80.26,0.0,0.99
2026-04-01 03:00:00,Quito,16.27,27.95,28.35,12.5,3.62,0.48,11.4,84.72,0.0,0.6
2026-04-01 04:00:00,Quito,19.35,9.92,35.9,11.15,12.68,0.477,10.99,91.06,0.0,0.79
2026-04-01 05:00:00,Quito,28.31,6.81,32.32,10.36,7.95,0.482,10.67,88.71,0.0,0.46
2026-04-01 06:00:00,Quito,16.67,42.97,27.67,10.83,4.03,0.736,9.8,82.7,0.0,0.82
2026-04-01 07:00:00,Quito,12.87,66.2,34.15,17.85,7.26,0.946,12.52,78.58,0.0,0.39
2026-04-01 08:00:00,Quito,10.8,200.34,35.74,31.95,7.13,0.889,17.5,57.59,0.0,0.85
2026-04-01 09:00:00,Quito,33.19,14.53,42.08,38.03,5.76,0.939,18.19,51.72,0.0,1.24
2026-04-01 10:00:00,Quito,41.55,45.13,47.52,41.43,8.74,0.858,17.82,51.96,0.0,0.77
2026-04-01 11:00:00,Quito,26.15,52.32,48.15,52.16,11.33,0.771,19.7,47.06,0.0,1.44
2026-04-01 12:00:00,Quito,29.25,40.72,37.21,80.33,7.23,0.646,20.47,43.46,0.0,2.25
2026-04-01 13:00:00,Quito,24.59,43.97,27.92,74.81,3.8,0.635,19.88,46.67,0.0,1.02
2026-04-01 14:00:00,Quito,15.01,34.29,21.17,54.97,3.1,0.557,19.31,46.59,0.0,0.69
2026-04-01 15:00:00,Quito,12.55,44.24,24.73,46.12,3.17,0.67,18.44,47.55,0.0,2.16
2026-04-01 16:00:00,Quito,19.92,12.98,40.43,30.04,12.97,0.765,16.23,61.89,0.0,3.08
2026-04-01 17:00:00,Quito,19.81,37.34,45.53,23.38,9.38,0.896,14.99,72.27,0.0,1.75
2026-04-01 18:00:00,Quito,19.55,29.36,53.39,13.6,12.77,1.044,14.11,75.49,0.0,1.5
2026-04-01 19:00:00,Quito,16.73,34.75,32.95,29.63,5.05,0.716,12.95,84.18,0.0,1.14
2026-04-01 20:00:00,Quito,11.84,47.74,30.07,31.38,3.87,0.669,12.35,87.79,0.0,0.99
2026-04-01 21:00:00,Quito,15.4,35.87,26.72,35.88,3.34,0.603,12.06,90.35,0.0,1.0
2026-04-01 22:00:00,Quito,12.69,22.98,25.89,34.84,3.29,0.566,12.14,89.36,0.0,0.75
2026-04-01 23:00:00,Quito,13.09,11.77,22.1,34.48,2.99,0.483,11.97,89.6,0.0,0.32
2026-04-02 00:00:00,Quito,9.3,31.39,24.45,,3.02,,11.9,80.75,0.0,0.62
2026-04-02 01:00:00,Quito,14.19,17.29,27.7,,,,11.96,79.51,0.0,0.73
2026-04-02 02:00:00,Quito,8.75,8.15,,18.08,,,11.84,79.95,0.0,0.99
2026-04-02 03:00:00,Quito,13.22,3.37,,19.43,,0.482,11.71,79.38,0.0,0.76
2026-04-02 04:00:00,Quito,12.73,41.62,,15.22,2.78,0.428,11.03,77.9,0.0,0.8
2026-04-02 05:00:00,Quito,15.36,52.0,29.96,11.47,2.93,0.471,10.56,86.0,0.0,0.5
2026-04-02 06:00:00,Quito,21.53,54.73,28.49,10.77,3.13,0.711,10.66,86.35,0.0,0.7
2026-04-02 07:00:00,Quito,17.83,16.71,35.34,15.85,4.07,0.976,12.26,79.4,0.0,0.34
