datetime,station,pm25,pm10,no2,o3,so2,co,temperature,humidity,aqi
2026-01-01 00:00:00,Tumbaco,18.3,39.59,15.3,21.1,7.29,0.57,21.27,66.95,46.48
2026-01-01 01:00:00,Los Chillos,27.81,33.72,25.66,26.01,0.1,0.53,25.1,82.94,82.72
2026-01-01 02:00:00,Carapungo,33.6,50.19,37.26,36.36,4.97,0.68,13.68,49.24,107.03
2026-01-01 03:00:00,Los Chillos,23.79,62.23,36.65,34.26,4.79,0.57,17.32,69.73,102.87
2026-01-01 04:00:00,Los Chillos,15.68,46.7,30.64,18.39,4.09,0.54,10.86,55.37,59.24
2026-01-01 05:00:00,Cotocollao,28.35,25.77,34.44,30.46,8.45,0.24,18.58,58.94,84.48
2026-01-01 06:00:00,Carapungo,48.17,76.42,33.37,14.15,3.23,0.41,19.1,55.36,118.78
2026-01-01 07:00:00,Carapungo,63.89,68.21,70.75,28.33,6.54,1.04,17.88,56.22,180.72
2026-01-01 08:00:00,Carapungo,67.75,142.54,55.14,41.28,5.71,1.41,16.04,97.66,200.0
2026-01-01 09:00:00,Los Chillos,26.87,91.8,27.17,21.36,7.52,0.87,11.85,75.13,100.04
2026-01-01 10:00:00,Tumbaco,11.27,30.63,28.98,22.16,3.67,0.67,19.12,78.22,52.03
2026-01-01 11:00:00,Carapungo,27.29,83.48,39.76,33.35,3.53,0.79,22.37,70.9,113.63
2026-01-01 12:00:00,Los Chillos,22.45,46.02,21.46,17.2,7.19,0.44,16.23,45.72,73.38
2026-01-01 13:00:00,Cotocollao,33.83,63.57,23.28,23.57,5.85,0.67,19.32,69.74,89.38
2026-01-01 14:00:00,Tumbaco,6.77,41.82,21.9,32.18,1.91,0.45,13.3,77.88,38.29
2026-01-01 15:00:00,Cotocollao,37.66,35.54,31.58,23.56,3.92,0.77,19.37,54.76,93.87
2026-01-01 16:00:00,Tumbaco,16.59,28.28,21.26,26.35,5.77,0.63,16.82,76.58,69.63
2026-01-01 17:00:00,Los Chillos,27.88,90.67,41.24,33.21,6.68,0.99,15.71,73.45,120.9
2026-01-01 18:00:00,Centro,29.2,83.95,81.06,30.95,3.64,0.67,15.72,87.22,123.06
2026-01-01 19:00:00,Tumbaco,10.51,46.73,40.29,29.87,0.1,1.11,16.82,59.99,62.27
2026-01-01 20:00:00,Cotocollao,47.17,50.61,43.77,25.63,6.05,1.53,19.15,51.83,138.81
2026-01-01 21:00:00,Los Chillos,22.59,51.35,32.53,30.59,2.56,0.4,14.06,60.66,70.86
2026-01-01 22:00:00,Tumbaco,9.34,60.75,13.39,27.13,0.97,0.53,16.81,82.23,57.49
2026-01-01 23:00:00,Centro,16.3,40.58,39.46,31.2,0.1,0.65,17.88,43.06,68.73
